,a_lot,ba,device,wafer_info,device_group,package,bond_wire,release,scrapped,final_test_para_fails,final_test_gross_fails,final_test_output,final_test_yield,delivery_date,quality_id,wps,fa,class_name,cause,edit_user,edit_date,create_user,create_date,box_class
160,600614,631275,ZX5T955G,9Z29VIPER.5: 21(unprobed),HT,SOT223,PD,True,False,1395.0,1358.0,197653.0,0.9862628863407283,2020-07-22 00:00:00.000,1153,False,True,Allg. & ZVR.,,tobias-hofmann,2020-08-06 12:16:17.030,felix-kannemann,2020-07-24 08:23:30.300,       334: Grenzwert;        334: Rückstellmuster;        334: Totalausfall;        334: Vision
161,604842,631990,ZHT431F01,9Z24ANNAL.5: 2(unprobed); 9Z28COOPS.6: 1(ringprobed),IC,LFSOT23,AU,False,True,,,156000.0,1.0,2020-08-03 00:00:00.000,1152,False,True,Allg. & ZVR.,,felix-kannemann,2020-08-17 09:42:28.970,ingo-hoerselmann,2020-07-23 09:34:33.173,       227: GND offen;        227: Grenzwert;        227: Iz_off >25nA;        227: Totalausfall;        227: Vref offen;        227: Vz offen;        227: ZHT431FM;        344: Rückstellmuster;        344: Vision;        346: Ausfall Gurter;        346: Rückstellmuster;        346: Vision
162,604842,632407,ZHT431F01,9Z24ANNAL.5: 2(unprobed); 9Z28COOPS.6: 1(ringprobed),IC,LFSOT23,AU,False,True,,,,,,1152,False,True,Allg. & ZVR.,,felix-kannemann,2020-08-17 09:42:28.970,ingo-hoerselmann,2020-07-23 09:34:33.173,       227: GND offen;        227: Grenzwert;        227: Iz_off >25nA;        227: Totalausfall;        227: Vref offen;        227: Vz offen;        227: ZHT431FM;        344: Rückstellmuster;        344: Vision;        346: Ausfall Gurter;        346: Rückstellmuster;        346: Vision
163,601529,631498,FMMT624,9Z17WEANS.4: 12(ringprobed),ST,SOT23,CU,False,False,1382.0,886.0,201858.0,0.9888892154845537,2020-08-03 00:00:00.000,1151,False,False,Prozessfehler,,ingo-hoerselmann,2020-07-22 13:01:27.750,ingo-hoerselmann,2020-07-22 12:59:19.953,        84: Ausfall Gurter;         84: Rückstellmuster
164,596119,630559,ZXCT1008F,9Z15BINDS.2: 9(probed),IC,LFSOT23,AU,True,False,10212.0,88.0,126340.0,0.9246194379391101,2020-07-22 00:00:00.000,1150,True,False,Ausbeute,Iout,christoph-siebert,2020-07-21 12:17:44.570,christoph-siebert,2020-07-20 15:31:05.020,       123: CJ1-Leakage;        123: Grenzwert;        123: Iout offen;        123: Load offen;        123: NoStart@2.5V;        123: Totalausfall;        123: Vin offen;        328: Ausfall Gurter;        328: Rückstellmuster;        328: Vision;        335: Ausfall Gurter;        335: Vision;        338: Ausfall Gurter;        338: Vision
165,596120,630560,ZXCT1008QF,9Z15BINDS.2: 9(probed),IC,LFSOT23,AU,True,False,15534.0,424.0,116965.0,0.8799455323758868,2020-08-07 00:00:00.000,1149,True,False,Ausbeute,Iout,christoph-siebert,2020-07-21 12:17:36.783,christoph-siebert,2020-07-20 15:30:41.087,        82: CJ1-Leakage;         82: Grenzwert;         82: Iout offen;         82: NoStart@2.5V;         82: Vin offen;        315: Grenzwert;        315: Load offen;        315: NoStart@2.5V;        315: Vin offen;        341: Ausfall Gurter;        341: Rückstellmuster;        341: Vision
166,597923,630873,ZXCT1008QF,9Z12TABLE.2: 1(probed); 9Z12TABLE.3: 15(probed),IC,LFSOT23,AU,True,False,35382.0,347.0,206247.0,0.8523448606473369,2020-08-05 00:00:00.000,1148,True,False,Ausbeute,Iout,christoph-siebert,2020-07-21 12:17:39.223,christoph-siebert,2020-07-20 15:30:39.910,       315: CJ1-Leakage;        315: Grenzwert;        315: Iout offen;        315: Load offen;        315: NoStart@2.5V;        315: Totalausfall;        315: Vin offen;        340: Ausfall Gurter;        340: Rückstellmuster;        340: Vision
167,585184,628822,ZXCT1008F,9Z07ZOMBI.2: 13(probed),IC,LFSOT23,AU,True,False,10478.0,367.0,169605.0,0.9399002493765586,2020-06-15 00:00:00.000,1147,True,False,Ausbeute,Iout,christoph-siebert,2020-07-21 12:17:41.840,christoph-siebert,2020-07-20 15:30:31.423,        41: Grenzwert;         41: Iout offen;         41: Load offen;         41: NoStart@2.5V;         41: Vin offen;         54: Grenzwert;         54: Load offen;         54: NoStart@2.5V;         54: Vin offen;        207: Ausfall Gurter;        207: Rückstellmuster;        207: Vision
168,585185,628823,ZXCT1008F,9Z16JEHAD.2: 11(probed); 9Z16JEHAD.6: 1(probed),IC,LFSOT23,AU,True,False,8104.0,399.0,143247.0,0.9439670510708402,2020-06-15 00:00:00.000,1146,True,False,Ausbeute,Iout,christoph-siebert,2020-07-21 12:17:47.377,christoph-siebert,2020-07-20 15:30:30.000,        41: CJ1-Leakage;         41: Grenzwert;         41: Load offen;         41: NoStart@2.5V;         41: Totalausfall;         41: Vin offen;         54: Grenzwert;         54: Iout offen;         54: Load offen;         54: NoStart@2.5V;         54: Totalausfall;         54: Vin offen;         98: CJ1-Leakage;         98: Grenzwert;         98: Load offen;         98: NoStart@2.5V;         98: Totalausfall;         98: Vin offen;        208: Ausfall Gurter;        208: Rückstellmuster;        208: Vision
169,590705,629271,ZXCT1008QF,9Z12TABLE.3: 4(probed),IC,LFSOT23,AU,True,False,10122.0,65.0,50593.0,0.8323955248436986,2020-06-18 00:00:00.000,1145,True,False,Ausbeute,Iout,christoph-siebert,2020-07-21 12:17:34.170,christoph-siebert,2020-07-20 15:30:27.823,       123: Ausfall Gurter;        123: Rückstellmuster;        123: Vision;        208: CJ1-Leakage;        208: Grenzwert;        208: Load offen;        208: NoStart@2.5V;        208: Totalausfall;        208: Vin offen
