a_lot,ba,device,wafer_info,device_group,department,package,bond_wire,ship_package,uk_input,final_test_input,final_test_para_fails,final_test_gross_fails,final_test_output,final_test_yield,delivery_date,quality_id,wps,fa,class_name,cause,comment,edit_user,edit_date,create_user,create_date,operator,tester,workplace,transistor_type,chip_configuration,lead_frame,box_class,year,month,week,day
441417,18201596,ZXTN19060CFF,,MT,SMD,SOT23F,CU,TA,100918.0,100128.0,840.0,102.0,99186.0,0.9905920421860019,2018-07-09 00:00:00.000,0,,,,,,,,,,328; 328; 248; 328; 328; 328; 248; 328,HP40141; HP40141; HP40141; HP40141; HP40141; HP40141; HP40141N; HP40141N; HP40141N; HP40141N; HP40141N; HP40141N,443; 443; 443; 443; 443; 443; 443; 443; 443; 443; 443; 443,npn,,TRÄGERBAND TB 301-6 6-row,       374: Ausfall Gurter,2018.0,7.0,28.0,9.0
441416,18201597,ZXTN07045EFF,,MT,SMD,SOT23F,CU,TA,65570.0,64640.0,400.0,1540.0,62700.0,0.9699876237623762,2018-07-23 00:00:00.000,0,,,,,,,,,,236; 304; 221; 236; 304; 221,HP40141N; HP40141N; HP40141N; HP40141; HP40141; HP40141,443; 443; 443; 443; 443; 443,,,TRÄGERBAND TB 301-6 6-row,       357: Ausfall Gurter,2018.0,7.0,30.0,23.0
441415,18201599,ZXMS6004FF,,SVMOS,SMD,SOT23F,AU,TA,124303.0,124640.0,1179.0,1556.0,121905.0,0.9780568035943518,2018-07-27 00:00:00.000,0,,,,,,,,,,322; 322; 289; 248; 292; 292; 292; 221; 221; 292; 231; 322; 322; 289; 248; 292,HP40141; HP40141; HP40141; HP40141; HP40141; AOT40100; AOT40100; AOT40100; AOT40100; AOT40100; AOT40100; HP40141N; HP40141N; HP40141N; HP40141N; HP40141N,443; 443; 443; 443; 443; 106; 106; 106; 106; 106; 106; 443; 443; 443; 443; 443,,,TRÄGERBAND TB 301-6 6-row,       153: Blown on Test;        153: Grenzwert;        153: Latch-Fehler;        153: RTHI-Fehler;        153: Totalausfall;        343: Ausfall Gurter,2018.0,7.0,30.0,27.0
441414,18201598,ZXMS6004FFQ,,SVMOS,SMD,SOT23F,AU,TA,94656.0,94184.0,15414.0,1147.0,77623.0,0.824163339845409,2018-07-24 00:00:00.000,0,,,,,,,,,,236; 236; 236; 236; 231; 236; 221; 325; 231; 231; 248; 236; 236; 236; 236; 231; 236; 221,HP40141N; HP40141N; HP40141N; HP40141N; HP40141N; HP40141N; HP40141N; AOT40100; AOT40100; AOT40100; AOT40100; HP40141; HP40141; HP40141; HP40141; HP40141; HP40141; HP40141,443; 443; 443; 443; 443; 443; 443; 106; 106; 106; 106; 443; 443; 443; 443; 443; 443; 443,,,TRÄGERBAND TB 301-6 6-row,       153: Ausfall Gurter;        354: Blown on Test;        354: Grenzwert;        354: Totalausfall,2018.0,7.0,30.0,24.0
441413,18201648,ZXGD3101T8,9W21TOURS.4: 1(probed); 9W22POLIO.7: 1(probed); 9W20ISLAM.5: 1(probed),ZPDD4,SMD,SM8,AU,TA,24000.0,23711.0,305.0,150.0,23256.0,0.9808105942389608,2018-10-11 00:00:00.000,0,,,,,,,,,,,,,,2x X27N180A-AC,TRÄGERBAND TB 4410-A,        32: Grenzwert;         32: Orientierung;         32: Totalausfall;         32: Vision,2018.0,10.0,41.0,11.0
441412,18201540,ZDT694,,2MT,SMD,SM8,CU,TA,71229.0,70784.0,325.0,577.0,69882.0,0.987257007233273,2018-07-04 00:00:00.000,0,,,,,,,,,,,,,2npn,2xFZT655BD,TRÄGERBAND TB 4407-B,,2018.0,7.0,27.0,4.0
441411,18201539,ZDT694Q,,2MT,SMD,SM8,AU,TA,45308.0,45648.0,241.0,236.0,45171.0,0.9895504731861199,2018-07-18 00:00:00.000,0,,,,,,,,,,,,,2npn,2xFZT655BD,TRÄGERBAND TB 4407-B,       374: Grenzwert;        374: Orientierung;        374: Totalausfall,2018.0,7.0,29.0,18.0
441410,18201531,ZDT6790,,2MT,SMD,SM8,CU,TA,77082.0,78432.0,462.0,354.0,77616.0,0.9895960832313342,2018-07-02 00:00:00.000,0,,,,,,,,,,,,,pnp-npn,,TRÄGERBAND TB 4407-B,,2018.0,7.0,27.0,2.0
441409,18201533,ZDT6753,,2MT,SMD,SM8,CU,TC,23629.0,23382.0,27.0,70.0,23285.0,0.9958515097083226,2018-06-27 00:00:00.000,0,,,,,,,,,,,,,npn-pnp,,TRÄGERBAND TB 4407-B,,2018.0,6.0,26.0,27.0
441408,18201532,ZDT6753,,2MT,SMD,SM8,CU,TA,37321.0,37374.0,46.0,32.0,37296.0,0.9979129876384653,2018-06-27 00:00:00.000,0,,,,,,,,,,,,,npn-pnp,,TRÄGERBAND TB 4407-B,,2018.0,6.0,26.0,27.0
441407,18201547,ZVP4424A,,MOSFET-H,SMD,ELineX,AU,Schüttgut,16198.0,16127.0,4.0,23.0,16100.0,0.9983257890494203,2018-07-23 00:00:00.000,0,,,,,,,,,,,,,p-Kanal,ZVP4424GD,TRÄGERSTREIFEN EP3,       374: Totalausfall,2018.0,7.0,30.0,23.0
441406,18201570,ZVN4206AV,,MOSFET-M,SMD,ELineX,AU,STZ,25504.0,25181.0,22.0,222.0,24937.0,0.9903101544815536,2018-07-27 00:00:00.000,0,,,,,,,,,,,,,n-Kanal,,TRÄGERSTREIFEN EP3,       343: Totalausfall;    2000002: Blown On Test;    2000002: Grenzwert,2018.0,7.0,30.0,27.0
441405,18201569,ZTX957,,HT,SMD,ELineX,AU,STZ,16260.0,16157.0,343.0,123.0,15691.0,0.9711580120071795,2018-07-26 00:00:00.000,0,,,,,,,,,,,,,pnp,FZT957D,TRÄGERSTREIFEN EP3,       357: Blown On Test;        360: Grenzwert;        360: Totalausfall,2018.0,7.0,30.0,26.0
441404,18201568,ZTX951,,HT,SMD,ELineX,AU,Schüttgut,21680.0,21600.0,108.0,156.0,21336.0,0.9877777777777778,2018-07-23 00:00:00.000,0,,,,,,,,,,,,,pnp,FZT951D,TRÄGERSTREIFEN EP3,       374: Blown On Test;        374: Grenzwert;        374: Totalausfall,2018.0,7.0,30.0,23.0
441403,18201567,ZTX849,,HT,SMD,ELineX,AU,STZ,21680.0,21280.0,201.0,82.0,20997.0,0.9867011278195489,2018-07-26 00:00:00.000,0,,,,,,,,,,,,,npn,FZT849D,TRÄGERSTREIFEN EP3,       375: Blown On Test;        375: Totalausfall;        376: Grenzwert,2018.0,7.0,30.0,26.0
441402,18201546,ZTX849,,HT,SMD,ELineX,AU,Schüttgut,19561.0,19549.0,339.0,60.0,19150.0,0.9795897488362576,2018-07-23 00:00:00.000,0,,,,,,,,,,,,,npn,FZT849D,TRÄGERSTREIFEN EP3,       374: Blown On Test;        374: Totalausfall;        375: Grenzwert,2018.0,7.0,30.0,23.0
441092,18201478,FZT953,,HT,SMD,SOT223,CU,TA,70410.0,72160.0,676.0,1212.0,70272.0,0.9738359201773836,2018-06-27 00:00:00.000,0,,,,,,,,,,,,,pnp,FZT953D,LEADFRAME DZN 2000 (all over Ag),       153: Grenzwert;        153: Totalausfall;        343: Datalog,2018.0,6.0,26.0,27.0
440937,18201475,ZXTP25020CFH,,SS6,SMD,LFSOT23,AU,TA,47342.0,48226.0,362.0,364.0,47500.0,0.984945879815867,2018-07-02 00:00:00.000,0,,,,,,,,,,304; 304; 304,HP40171; HP40171; HP40171,250; 250; 250,,X25P20CD,LEADFRAME DZN 1020,       153: Grenzwert;        153: Totalausfall,2018.0,7.0,27.0,2.0
440936,18201466,ZXTN2031F,,SS6,SMD,LFSOT23,AU,TA,51045.0,51760.0,562.0,338.0,50860.0,0.982612055641422,2018-07-02 00:00:00.000,0,,,,,,,,,,225; 287,HP40171; HP40171,250; 250,,X23N49CD,LEADFRAME DZN 1011,,2018.0,7.0,27.0,2.0
440935,18201465,ZXTN2020F,,SS6,SMD,LFSOT23,AU,TA,36151.0,34993.0,421.0,362.0,34210.0,0.977624096247821,2018-07-02 00:00:00.000,0,,,,,,,,,,304; 293,HP40171; HP40171,250; 250,,X23N70BD,LEADFRAME DZN 1011,,2018.0,7.0,27.0,2.0
440934,18201470,ZXMN3B14F,,UMOS,SMD,LFSOT23,AU,TA,55645.0,55320.0,1127.0,1109.0,53084.0,0.9595806218365871,2018-07-09 00:00:00.000,0,,,,,,,,,,325; 275; 275; 275; 248; 225; 275; 248; 225,AOT40101; AOT40101; AOT40101; HP40369; HP40369; HP40369; HP40369; HP40369; HP40369,103; 103; 103; 441; 441; 441; 441; 441; 441,,ZXMN3B14D,LEADFRAME DZN 1011,       351: Blown on Test;        351: Grenzwert;        351: Totalausfall;        356: Ausfall Gurter;        373: Blown on Test;        373: Grenzwert;        373: Totalausfall;        374: Blown on Test;        374: Grenzwert;        374: Totalausfall,2018.0,7.0,28.0,9.0
440933,18201468,ZXMN3A14F,,UMOS,SMD,LFSOT23,AU,TA,76846.0,76481.0,1038.0,1213.0,74230.0,0.970567853453799,2018-07-09 00:00:00.000,0,,,,,,,,,,325; 325; 325; 325; 325; 275; 325; 275; 225,HP40369; HP40369; HP40369; HP40369; HP40369; AOT40101; AOT40101; AOT40101; AOT40101,441; 441; 441; 441; 441; 103; 103; 103; 103,,ZXMN3A14D,LEADFRAME DZN 1011,       153: Blown on Test;        153: Grenzwert;        153: Totalausfall;        354: Blown on Test;        354: Grenzwert;        354: Totalausfall;        357: Ausfall Gurter;        374: Blown on Test;        374: Grenzwert;        374: Totalausfall,2018.0,7.0,28.0,9.0
