index,a_lot,device,wafer_info,device_group,package,bond_wire,ship_package,final_test_output,final_test_yield,delivery_date,quality_id,release,scrapped,transistor_type,chip_configuration,lead_frame,soft_solder,ongoing_process,ongoing_input,ongoing_reject,ongoing_output,ongoing_done_date,beginning_process,beginning_input,beginning_reject,beginning_output,beginning_done_date,progress,progress2,current_step,comment_for_lot_step,progress2_comment_2
2967,502957,ZXTN08400BFF,9Y37FIEFS.6: 11(unprobed),MT,SOT23F,CU,TA,122781.0,96.89,2019-09-24,0,,,npn,,TRÄGERBAND TB 301-6 6-row,,AUSLIEFERN,120000.0,0.0,120000.0,2019-09-24 00:00:00,SÄGEN,125259.0,0.0,125259.0,2019-09-09 00:00:00,0.9580149929346394,1.0177253837672802,AUSLIEFERN,Ausgeliefert,Erledigt
2968,502956,ZXTN08400BFF,9Y37EVOKE.5: 18(unprobed),MT,SOT23F,CU,TA,199234.0,97.24,2019-09-23,0,,,npn,,TRÄGERBAND TB 301-6 6-row,,AUSLIEFERN,192000.0,0.0,192000.0,2019-09-23 00:00:00,SÄGEN,204999.0,0.0,204999.0,2019-09-08 00:00:00,0.9365899345850468,1.0084298432206729,AUSLIEFERN,Ausgeliefert,Erledigt
2969,502955,ZXTN08400BFF,9Y31CREWS.9: 1(probed); 9Y31ROYAL.10: 4(unprobed),MT,SOT23F,CU,TA,54340.0,99.52,2019-09-19,0,,,npn,,TRÄGERBAND TB 301-6 6-row,,AUSLIEFERN,54000.0,0.0,54000.0,2019-09-19 00:00:00,SÄGEN,56001.0,0.0,56001.0,2019-09-08 00:00:00,0.9642684952054428,1.0241043827874605,AUSLIEFERN,Ausgeliefert,Erledigt
2970,502954,ZTL431AFF,9Y10TOKEN.8: 1(probed),IC,SOT23F,CU,TA,47920.0,94.54,2019-09-13,0,,,,,TRÄGERBAND TB 301-6 6-row,,AUSLIEFERN,42000.0,0.0,42000.0,2019-09-13 00:00:00,SÄGEN,50160.0,0.0,50160.0,2019-08-29 00:00:00,0.8373205741626795,0.9454561826081084,AUSLIEFERN,Ausgeliefert,Erledigt
2971,501685,ZXTN25100DG,9Y35SHIPS.5: 2(probed),SS6,SOT223,PD,TA,35887.0,96.6,2019-09-03,0,,,npn,,LEADFRAME DZN 2000 (all over Ag),MICROBOND SOFT SOLDER WIRE 0.254MM,AUSLIEFERN,35000.0,0.0,35000.0,2019-09-03 00:00:00,SÄGEN,37221.0,0.0,37221.0,2019-08-25 00:00:00,0.9403293839499207,1.0016598935378627,AUSLIEFERN,Ausgeliefert,Erledigt
2972,501684,ZXMP7A17GQ,9Y29WAFER.4: 14(probed),UMOS,SOT223,AU,TC,92946.0,96.05,2019-09-16,0,,,,ZXMP7A17G,LEADFRAME DZN 2000 (all over Ag),MICROBOND SOFT SOLDER WIRE 0.30MM,AUSLIEFERN,92000.0,0.0,92000.0,2019-09-16 00:00:00,SÄGEN,103447.0,0.0,103447.0,2019-09-02 00:00:00,0.8893443019130569,0.9973872789757267,AUSLIEFERN,Ausgeliefert,Erledigt
2973,501683,ZXMP7A17GQ,9Y29WAFER.4: 8(probed),UMOS,SOT223,AU,TA,57022.0,95.42,2019-09-11,0,,,,ZXMP7A17G,LEADFRAME DZN 2000 (all over Ag),MICROBOND SOFT SOLDER WIRE 0.30MM,AUSLIEFERN,58000.0,0.0,58000.0,2019-09-11 00:00:00,SÄGEN,59036.0,0.0,59036.0,2019-08-30 00:00:00,0.98245138559523,1.0302319798216633,AUSLIEFERN,Ausgeliefert,Erledigt
2974,501682,ZXMP6A17G,9Y31DOUGH.5: 1(probed); 9Y31CRESS.5: 9(probed),UMOS,SOT223,CU,TA,59573.0,99.21,2019-09-04,0,,,pMOSe,ZXMP6A17D,LEADFRAME DZN 2000 (all over Ag),MICROBOND SOFT SOLDER WIRE 0.30MM,AUSLIEFERN,59000.0,0.0,59000.0,2019-09-04 00:00:00,SÄGEN,60702.0,0.0,60702.0,2019-08-27 00:00:00,0.9719613851273434,1.0003560589362315,AUSLIEFERN,Ausgeliefert,Erledigt
2975,501681,ZXMN6A08GQ,9Y33CHEAP.6: 3(probed),UMOS,SOT223,AU,TA,23029.0,98.72,2019-09-02,0,,,,,LEADFRAME DZN 2000 (all over Ag),MICROBOND SOFT SOLDER WIRE 0.30MM,AUSLIEFERN,23000.0,0.0,23000.0,2019-09-02 00:00:00,SÄGEN,23391.0,0.0,23391.0,2019-08-22 00:00:00,0.983284169124877,1.0041037282807999,AUSLIEFERN,Ausgeliefert,Erledigt
2976,501680,ZX5T951G-36,9Y36HUMUS.6: 2(ringprobed); 9Y36HUMUS.5: 4(probed); 9Y35RANTS.7: 6(probed); 9Y35RANTS.10: 11(unprobed),HT,SOT223,AU,TC,184000.0,95.12,2019-09-19,869,True,False,,,TRÄGERBAND TB4404-B,MICROBOND SOFT SOLDER WIRE 0.30MM,AUSLIEFERN,184000.0,0.0,184000.0,2019-09-19 00:00:00,SÄGEN,194761.0,0.0,194761.0,2019-08-26 00:00:00,0.9447476650869527,1.0027084025874236,AUSLIEFERN,Ausgeliefert,Erledigt
