index,a_lot,device,wafer_info,device_group,package,bond_wire,ship_package,final_test_output,final_test_yield,delivery_date,quality_id,release,scrapped,transistor_type,chip_configuration,lead_frame,soft_solder,ongoing_process,ongoing_input,ongoing_reject,ongoing_output,ongoing_done_date,beginning_process,beginning_input,beginning_reject,beginning_output,beginning_done_date,progress,progress2,current_step,comment_for_lot_step,progress2_comment_2
199,Z050420,NI1000,O-081970127-B1: 1(TE probed); O-081970178-C5: 1(TE probed); O-081970090-C3: 1(TE probed); O-081970124-B3: 1(TE probed); O-081970176-F2: 1(TE probed),SEN SOT23,SEN,AU,TC,131177.0,99.88,2020-04-24,0,,,,,TB 401 SEN    Ni1000,,AUSLIEFERN,128844.0,0.0,128844.0,2020-04-22 00:00:00,SÄGEN,131975.0,0.0,131975.0,2020-04-03 00:00:00,0.9762758098124645,1.0256320448321976,AUSLIEFERN,Ausgeliefert,Erledigt
200,Z050418-NI1000TC,NI1000,,SEN SOT23,SEN,AU,TC,243190.0,99.68,,0,,,,,TB 401 SEN    Ni1000,,AUSLIEFERN,239960.0,1436.0,238524.0,2018-04-19 00:00:00,SÄGEN,244606.0,0.0,244606.0,2018-04-09 00:00:00,0.9751355240672755,1.024358820194802,AUSLIEFERN,855 Tage vergehen nach Auslieferung,Erledigt
201,Z050320,NI1000,O-041970001-C3: 1(TE probed); O-041970109-D6: 1(TE probed); O-041970133-C2: 1(TE probed); O-041970226-C2: 1(TE probed); O-041970120-F5: 1(TE probed); O-041970021-D4: 1(TE probed); O-041970107-G3: 1(TE probed),SEN SOT23,SEN,AU,TC,152747.0,100.0,2020-03-20,980,False,False,,,TB 401 SEN    Ni1000,,AUSLIEFERN,152747.0,0.0,152747.0,2020-03-19 00:00:00,SÄGEN,187590.0,0.0,187590.0,2020-03-07 00:00:00,0.8142598219521296,0.8394721800874937,AUSLIEFERN,Ausgeliefert,Läuft
202,Z050319,NI1000,,SEN SOT23,SEN,AU,TC,207410.0,99.88,2019-03-22,0,,,,,TB 401 SEN    Ni1000,,AUSLIEFERN,203375.0,0.0,203375.0,2019-03-21 00:00:00,SÄGEN,209249.0,0.0,209249.0,2019-03-07 00:00:00,0.971928181257736,1.0177197073571065,AUSLIEFERN,Ausgeliefert,Erledigt
203,Z050220,NI1000,O-041970195-D0: 1(TE probed); O-041970386-C6: 1(TE probed); O-041970394-C2: 1(TE probed); O-041970208-F7: 1(TE probed),SEN SOT23,SEN,AU,TC,106349.0,99.88,2020-02-21,0,,,,,TB 401 SEN    Ni1000,,AUSLIEFERN,105532.0,0.0,105532.0,2020-02-13 00:00:00,SÄGEN,107385.0,0.0,107385.0,2020-02-05 00:00:00,0.9827443311449457,1.0209052829130028,AUSLIEFERN,Ausgeliefert,Erledigt
204,Z040919,ZMZ20,,SEN ELINEX,SEN,AU,Schüttgut,24837.0,99.58,,0,,,,,TRÄGERSTREIFEN TS 115/4 N VERSILBERT,,AUSLIEFERN,24500.0,0.0,24500.0,2019-11-15 00:00:00,SÄGEN,25306.0,0.0,25306.0,2019-09-06 00:00:00,0.9681498458863511,1.0,AUSLIEFERN,280 Tage vergehen nach Auslieferung,Erledigt
205,Z040818,NI1000,,SEN SOT23,SEN,AU,TC,135474.0,99.86,2018-09-07,0,,,,,TB 401 SEN    Ni1000,,AUSLIEFERN,133821.0,0.0,133821.0,2018-09-06 00:00:00,SÄGEN,136140.0,0.0,136140.0,2018-08-08 00:00:00,0.9829660643455267,1.0114125053850398,AUSLIEFERN,Ausgeliefert,Erledigt
206,Z040720,3H0015,,SEN SOT223,SEN,AU,Schüttgut,,,,0,,,,,TRÄGERSTREIFEN TS 404 NI/AG,,VERPLASTEN,7750.0,0.0,7750.0,2020-07-31 00:00:00,SÄGEN,8228.0,0.0,8228.0,2020-07-03 00:00:00,0.9419056878949927,1.0,VERPLASTEN,21 Tage vergehen nach VERPLASTEN,Erledigt
207,Z040718,KMZ10CM,,SEN SOT4W,SEN,AU,Schüttgut,33700.0,99.77,2018-09-27,0,,,,,EFTEC64T-1/2H für TS117S,,AUSLIEFERN,33700.0,0.0,33700.0,2018-09-27 00:00:00,SÄGEN,33898.0,0.0,33898.0,2018-07-12 00:00:00,0.9941589474305269,1.001545411317166,AUSLIEFERN,Ausgeliefert,Erledigt
208,Z040620,ZNI1000,O-081970017-H1: 1(TE probed),SEN SOT23,SEN,AU,TA,25299.0,99.84,,0,,,,,TB 401 SEN    Ni1000,,AUSLIEFERN,24000.0,0.0,24000.0,2020-06-24 00:00:00,SÄGEN,25942.0,0.0,25942.0,2020-06-09 00:00:00,0.9251406984812274,1.0,AUSLIEFERN,58 Tage vergehen nach Auslieferung,Erledigt
209,Z040520,NI1000,O-081970297-F7: 1(TE probed); O-081970301-C1: 1(TE probed); O-081970093-C1: 1(TE probed); O-081970523-C2: 1(TE probed); O-081970273-C5: 1(TE probed),SEN SOT23,SEN,AU,TC,134042.0,99.86,2020-05-22,0,,,,,TB 401 SEN    Ni1000,,AUSLIEFERN,131481.0,0.0,131481.0,2020-05-20 00:00:00,SÄGEN,135244.0,0.0,135244.0,2020-05-05 00:00:00,0.9721762148413239,1.0237083060824068,AUSLIEFERN,Ausgeliefert,Erledigt
210,Z040518-NI1000TC,NI1000,,SEN SOT23,SEN,AU,TC,270220.0,99.53,,0,,,,,TB 401 SEN    Ni1000,,AUSLIEFERN,267335.0,1608.0,265727.0,2018-05-28 00:00:00,SÄGEN,268481.0,0.0,268481.0,2018-05-07 00:00:00,0.9897422908883683,1.0211981814758024,AUSLIEFERN,816 Tage vergehen nach Auslieferung,Erledigt
211,Z040420,KMZ10CM,O-061950245-A6: 1(TE probed); O-061950201-D6: 1(TE probed); O-061950242-B0: 1(TE probed); O-061950250-A4: 1(TE probed); O-061950244-F6: 1(TE probed); O-061950248-A4: 1(TE probed); O-061950241-G0: 1(TE probed); O-061950239-G0: 1(TE probed); O-061950249-C7: 1(TE probed); O-061950237-B2: 1(TE probed); O-061950047-D7: 1(TE probed),SEN SOT4W,SEN,AU,Schüttgut,33409.0,99.62,2020-05-22,0,,,,,EFTEC64T-1/2H für TS117S,,AUSLIEFERN,33409.0,0.0,33409.0,2020-05-19 00:00:00,SÄGEN,33549.0,0.0,33549.0,2020-04-01 00:00:00,0.9958269993144356,1.0000299329501916,AUSLIEFERN,Ausgeliefert,Erledigt
212,Z040319,KMZ10CM,,SEN SOT4W,SEN,AU,Schüttgut,34501.0,99.74,2019-04-25,746,False,False,,,EFTEC64T-1/2H für TS117S,,AUSLIEFERN,34501.0,0.0,34501.0,2019-04-25 00:00:00,SÄGEN,34929.0,0.0,34929.0,2019-03-11 00:00:00,0.9877465716167082,1.0,AUSLIEFERN,Ausgeliefert,Erledigt
213,Z040119,KMZ10CM,,SEN SOT4W,SEN,AU,Schüttgut,33441.0,98.88,2019-02-28,0,,,,,EFTEC64T-1/2H für TS117S,,AUSLIEFERN,33441.0,0.0,33441.0,2019-02-28 00:00:00,SÄGEN,34360.0,0.0,34360.0,2019-01-29 00:00:00,0.9732537834691501,1.0,AUSLIEFERN,Ausgeliefert,Erledigt
214,Z031219,KMZ20M,O-061850499-A5: 1(TE probed); O-061850571-H1: 1(TE probed); O-061850514-D4: 1(TE probed); O-061850496-A7: 1(TE probed); O-061850516-A7: 1(TE probed),SEN ELINEX,SEN,AU,Schüttgut,10106.0,92.74,2020-02-07,0,,,,,TRÄGERSTREIFEN TS 115/4 N VERSILBERT,,AUSLIEFERN,10106.0,10.0,10096.0,2020-02-07 00:00:00,SÄGEN,11216.0,0.0,11216.0,2019-12-03 00:00:00,0.9001426533523538,1.0,AUSLIEFERN,Ausgeliefert,Erledigt
215,Z030919,ZMZ20,,SEN ELINEX,SEN,AU,Schüttgut,11607.0,99.23,,0,,,,,TRÄGERSTREIFEN TS 115/4 N VERSILBERT,,AUSLIEFERN,11500.0,0.0,11500.0,2019-10-30 00:00:00,SÄGEN,13200.0,0.0,13200.0,2019-09-04 00:00:00,0.8712121212121212,1.0,AUSLIEFERN,296 Tage vergehen nach Auslieferung,Erledigt
216,Z030818,NI1000,,SEN SOT23,SEN,AU,TC,161996.0,99.87,2018-09-07,0,,,,,TB 401 SEN    Ni1000,,AUSLIEFERN,159819.0,0.0,159819.0,2018-09-07 00:00:00,SÄGEN,162792.0,0.0,162792.0,2018-08-06 00:00:00,0.9817374318148312,1.0124161435204835,AUSLIEFERN,Ausgeliefert,Erledigt
217,Z030720,3H0015,,SEN SOT223,SEN,AU,Schüttgut,,,,0,,,,,TRÄGERSTREIFEN TS 404 NI/AG,,VERPLASTEN,8775.0,0.0,8775.0,2020-07-30 00:00:00,SÄGEN,8935.0,0.0,8935.0,2020-07-03 00:00:00,0.9820928931169558,1.0,VERPLASTEN,22 Tage vergehen nach VERPLASTEN,Erledigt
218,Z030620,KMZ10CM,P-041950318-B6: 1(TE probed); P-041950442-E6: 1(TE probed); P-041950230-B4: 1(TE probed); P-041950407-H0: 1(TE probed); P-041950355-E2: 1(TE probed); P-041950446-G7: 1(TE probed); P-041950432-A4: 1(TE probed); P-041950356-G5: 1(TE probed); P-041950148-F4: 1(TE probed),SEN SOT4W,SEN,AU,Schüttgut,28231.0,99.46,2020-07-30,0,,,,,EFTEC64T-1/2H für TS117S,,AUSLIEFERN,28231.0,0.0,28231.0,2020-07-29 00:00:00,SÄGEN,28687.0,0.0,28687.0,2020-06-03 00:00:00,0.9841042981141284,1.0,AUSLIEFERN,Ausgeliefert,Erledigt
219,Z030420,NI1000,O-081970188-G7: 1(TE probed); O-081970357-A6: 1(TE probed); O-081970264-A6: 1(TE probed),SEN SOT23,SEN,AU,TC,75195.0,99.21,2020-04-24,0,,,,,TB 401 SEN    Ni1000,,AUSLIEFERN,73624.0,0.0,73624.0,2020-04-21 00:00:00,SÄGEN,76089.0,0.0,76089.0,2020-03-31 00:00:00,0.9676037272141834,1.0094606082211315,AUSLIEFERN,Ausgeliefert,Erledigt
220,Z030419,ZNI1000,,SEN SOT23,SEN,AU,TA,54305.0,99.88,,0,,,,,TB 401 SEN    Ni1000,,AUSLIEFERN,54536.0,0.0,54536.0,2019-04-23 00:00:00,SÄGEN,54364.0,0.0,54364.0,2019-04-05 00:00:00,1.0031638584357294,1.019955488226823,AUSLIEFERN,486 Tage vergehen nach Auslieferung,Erledigt
221,Z030119,KMZ10CM,,SEN SOT4W,SEN,AU,Schüttgut,30563.0,97.56,2019-02-22,0,,,,,EFTEC64T-1/2H für TS117S,,AUSLIEFERN,30563.0,0.0,30563.0,2019-02-22 00:00:00,SÄGEN,35370.0,0.0,35370.0,2019-01-25 00:00:00,0.8640938648572236,0.9038831218762015,AUSLIEFERN,Ausgeliefert,Läuft
222,Z020818,NI1000NOTIN,,SEN SOT23,SEN,AU,TC,78944.0,98.77,2018-09-07,0,,,,,TRÄGERBAND TB 401 L-A veredelt,,AUSLIEFERN,78521.0,0.0,78521.0,2018-09-06 00:00:00,SÄGEN,81392.0,0.0,81392.0,2018-08-05 00:00:00,0.9647262630233929,1.0129258633367304,AUSLIEFERN,Ausgeliefert,Erledigt
223,Z020420,NI1000NOTIN,O-081970444-B2: 1(TE probed); O-081970191-B7: 1(TE probed); O-081970190-G7: 1(TE probed),SEN SOT23,SEN,AU,TC,78264.0,99.64,2020-04-24,0,,,,,TRÄGERBAND TB 401 L-A veredelt,,AUSLIEFERN,77683.0,0.0,77683.0,2020-04-22 00:00:00,SÄGEN,78810.0,0.0,78810.0,2020-03-31 00:00:00,0.9856997842913335,1.010550005203455,AUSLIEFERN,Ausgeliefert,Erledigt
224,Z020419,NI1000,,SEN SOT23,SEN,AU,TC,216740.0,99.93,2019-04-25,0,,,,,TB 401 SEN    Ni1000,,AUSLIEFERN,211777.0,0.0,211777.0,2019-04-25 00:00:00,SÄGEN,243995.0,27107.0,216888.0,2019-04-08 00:00:00,0.9764348419460736,1.0204005916846148,AUSLIEFERN,Ausgeliefert,Erledigt
225,Z020219,NI1000NOTIN,,SEN SOT23,SEN,AU,TC,105249.0,98.96,2019-03-08,0,,,,,TRÄGERBAND TB 401 L-A veredelt,,AUSLIEFERN,102725.0,0.0,102725.0,2019-03-07 00:00:00,SÄGEN,105595.0,0.0,105595.0,2019-02-13 00:00:00,0.9728206827974809,1.021732643723891,AUSLIEFERN,Ausgeliefert,Erledigt
226,Z011219,PT1000,,SEN ELINEX,SEN,AU,Schüttgut,35000.0,98.6,2020-05-08,0,,,,,TRÄGERSTREIFEN TS 115/2 AG,,AUSLIEFERN,35000.0,0.0,35000.0,2020-05-07 00:00:00,SÄGEN,43680.0,0.0,43680.0,2020-01-15 00:00:00,0.8012820512820513,1.0,AUSLIEFERN,Ausgeliefert,Erledigt
227,Z011118,KMZ10CM,,SEN SOT4W,SEN,AU,Schüttgut,34664.0,100.0,2019-01-11,0,,,,,EFTEC64T-1/2H für TS117S,,AUSLIEFERN,34664.0,0.0,34664.0,2019-01-09 00:00:00,SÄGEN,34989.0,0.0,34989.0,2018-11-07 00:00:00,0.9907113664294492,1.004258771040357,AUSLIEFERN,Ausgeliefert,Erledigt
228,Z011019,NI1000,,SEN SOT23,SEN,AU,TC,263650.0,99.94,2019-10-25,0,,,,,TB 401 SEN    Ni1000,,AUSLIEFERN,261420.0,0.0,261420.0,2019-10-24 00:00:00,SÄGEN,265306.0,0.0,265306.0,2019-10-09 00:00:00,0.9853527624705057,1.024537641235465,AUSLIEFERN,Ausgeliefert,Erledigt
229,Z010720,NI1000NOTIN,O-111970779-C6: 1(TE probed); O-111970845-H1: 1(TE probed),SEN SOT23,SEN,AU,TC,47889.0,99.86,2020-07-17,0,,,,,TRÄGERBAND TB 401 L-A veredelt,,AUSLIEFERN,47666.0,0.0,47666.0,2020-07-14 00:00:00,SÄGEN,50900.0,0.0,50900.0,2020-07-01 00:00:00,0.9364636542239686,1.0410151131300778,AUSLIEFERN,Ausgeliefert,Erledigt
230,Z010618-NI1000TC,NI1000,,SEN SOT23,SEN,AU,TC,133730.0,99.85,,0,,,,,TB 401 SEN    Ni1000,,AUSLIEFERN,132264.0,522.0,131742.0,2018-06-28 00:00:00,SÄGEN,134284.0,0.0,134284.0,2018-06-06 00:00:00,0.9810699711060141,1.0222542948926858,AUSLIEFERN,785 Tage vergehen nach Auslieferung,Erledigt
231,Z010420,NI1000,O-041970175-B7: 1(TE probed); O-041970334-G2: 1(TE probed); O-041970178-B5: 1(TE probed); O-041970338-B0: 1(TE probed); O-041970174-G7: 1(TE probed); O-041970212-D2: 1(TE probed),SEN SOT23,SEN,AU,TC,154960.0,99.46,2020-04-24,0,,,,,TB 401 SEN    Ni1000,,AUSLIEFERN,151812.0,0.0,151812.0,2020-04-20 00:00:00,SÄGEN,159280.0,0.0,159280.0,2020-03-30 00:00:00,0.9531140130587644,1.0251472097671654,AUSLIEFERN,Ausgeliefert,Erledigt
232,Z010219,NI1000,,SEN SOT23,SEN,AU,TC,189304.0,99.91,2019-02-28,0,,,,,TB 401 SEN    Ni1000,,AUSLIEFERN,187175.0,0.0,187175.0,2019-02-28 00:00:00,SÄGEN,190083.0,0.0,190083.0,2019-02-12 00:00:00,0.9847014199060411,1.0172333210147606,AUSLIEFERN,Ausgeliefert,Erledigt
233,614621,ZXTP2014G,9Z36PILOT.4: 25(unprobed),HT,SOT223,AU,TA,,,,0,,,,,LEADFRAME DZN 2000 (all over Ag),MICROBOND SOFT SOLDER WIRE 0.30MM,SÄGEN,0.0,0.0,0.0,0,SÄGEN,0.0,0.0,0.0,0,-0.01,,SÄGEN,Vorbereitungen für den Start,Vor Produktionsbeginn
234,614620,ZXMP6A17G,9Z32BEFOG.6: 25(probed),UMOS,SOT223,CU,TA,,,,0,,,pMOSe,ZXMP6A17D,LEADFRAME DZN 2000 (all over Ag),MICROBOND SOFT SOLDER WIRE 0.30MM,SÄGEN,0.0,0.0,0.0,0,SÄGEN,0.0,0.0,0.0,0,-0.01,,SÄGEN,Vorbereitungen für den Start,Vor Produktionsbeginn
235,614619,ZXMP6A17G,9Z34NOTED.6: 6(probed); 9Z32ABEAM.7: 2(probed),UMOS,SOT223,CU,TA,,,,0,,,pMOSe,ZXMP6A17D,LEADFRAME DZN 2000 (all over Ag),MICROBOND SOFT SOLDER WIRE 0.30MM,SÄGEN,0.0,0.0,0.0,0,SÄGEN,0.0,0.0,0.0,0,-0.01,,SÄGEN,Vorbereitungen für den Start,Vor Produktionsbeginn
236,614618,ZXMP4A16GQ,9Y16HUNKS.6: 1(probed); 9Y33POOCH.5: 2(probed),UMOS,SOT223,AU,TA,,,,0,,,pMOSe,,LEADFRAME DZN 2000 (all over Ag),MICROBOND SOFT SOLDER WIRE 0.50MM,SÄGEN,0.0,0.0,0.0,0,SÄGEN,0.0,0.0,0.0,0,-0.01,,SÄGEN,Vorbereitungen für den Start,Vor Produktionsbeginn
237,614617,ZXMN7A11GQ,9Z35TERSE.3: 8(probed); 9Z35TERSE.6: 1(probed),UMOS,SOT223,AU,TA,,,,0,,,,,LEADFRAME DZN 2000 (all over Ag),MICROBOND SOFT SOLDER WIRE 0.30MM,SÄGEN,0.0,0.0,0.0,0,SÄGEN,0.0,0.0,0.0,0,-0.01,,SÄGEN,Vorbereitungen für den Start,Vor Produktionsbeginn
238,614616,ZXMN10A11G,9Z38GROAN.3: 15(probed),UMOS,SOT223,CU,TA,,,,0,,,nMOSe,ZXMN10A11D,LEADFRAME DZN 2000 (all over Ag),MICROBOND SOFT SOLDER WIRE 0.30MM,SÄGEN,0.0,0.0,0.0,0,SÄGEN,0.0,0.0,0.0,0,-0.01,,SÄGEN,Vorbereitungen für den Start,Vor Produktionsbeginn
239,614615,ZX5T851G,9Z34AZTEC.5: 17(ringprobed); 9Z34AZTEC.7: 1(unprobed),HT,SOT223,PD,TA,,,,0,,,,,LEADFRAME DZN 2000 (all over Ag),MICROBOND SOFT SOLDER WIRE 0.30MM,SÄGEN,0.0,0.0,0.0,0,SÄGEN,0.0,0.0,0.0,0,-0.01,,SÄGEN,Vorbereitungen für den Start,Vor Produktionsbeginn
240,614614,ZVN4306GV,9Z18FICHE.4: 12(unprobed),MOSFET-H,SOT223,CU,TA,,,,0,,,nMOSe,ZVN4306GVD,LEADFRAME DZN 2000 (all over Ag),MICROBOND SOFT SOLDER WIRE 0.50MM,SÄGEN,64845.0,0.0,64845.0,2020-08-21 00:00:00,SÄGEN,64845.0,0.0,64845.0,2020-08-21 00:00:00,1.0,1.0,SÄGEN,0 Tage vergehen nach SÄGEN,Erledigt
241,614613,ZVN4210G,9Z32SIGNS.6: 4(probed),MOSFET-M,SOT223,CU,TA,,,,0,,,nMOSe,ZVN4210D,LEADFRAME DZN 2000 (all over Ag),MICROBOND SOFT SOLDER WIRE 0.30MM,SÄGEN,0.0,0.0,0.0,0,SÄGEN,0.0,0.0,0.0,0,-0.01,,SÄGEN,Vorbereitungen für den Start,Vor Produktionsbeginn
242,614612,ZVN2106G,9Z31MELEE.6: 10(unprobed),MOSFET-M,SOT223,CU,TA,,,,0,,,nMOSe,ZVN2106D,LEADFRAME DZN 2000 (all over Ag),MICROBOND SOFT SOLDER WIRE 0.30MM,SÄGEN,0.0,0.0,0.0,0,SÄGEN,0.0,0.0,0.0,0,-0.01,,SÄGEN,Vorbereitungen für den Start,Vor Produktionsbeginn
243,614611,FZT857,9Z34ARENA.6: 7(probed),HT,SOT223,AU,TA,,,,0,,,npn,FZT857D,LEADFRAME DZN 2000 (all over Ag),MICROBOND SOFT SOLDER WIRE 0.50MM,SÄGEN,36344.0,0.0,36344.0,2020-08-21 00:00:00,SÄGEN,36344.0,0.0,36344.0,2020-08-21 00:00:00,1.0,1.0,SÄGEN,0 Tage vergehen nach SÄGEN,Erledigt
244,614610,FZT857Q,9Z34ARENA.4: 3(ringprobed); 9Z34ARENA.3: 2(probed),HT,SOT223,AU,TA,,,,0,,,npn,FZT857D,LEADFRAME DZN 2000 (all over Ag),MICROBOND SOFT SOLDER WIRE 0.50MM,SÄGEN,25513.0,0.0,25513.0,2020-08-20 00:00:00,SÄGEN,25513.0,0.0,25513.0,2020-08-20 00:00:00,1.0,1.0,SÄGEN,1 Tage vergehen nach SÄGEN,Erledigt
245,614609,FZT855,9Z22RILED.9: 1(unprobed); 9Z29WHIZZ.4: 2(ringprobed); 9Z22RILED.8: 2(ringprobed),HT,SOT223,CU,TA,,,,0,,,npn,FZT855D,LEADFRAME DZN 2000 (all over Ag),MICROBOND SOFT SOLDER WIRE 0.50MM,SÄGEN,23947.0,0.0,23947.0,2020-08-20 00:00:00,SÄGEN,23947.0,0.0,23947.0,2020-08-20 00:00:00,1.0,1.0,SÄGEN,1 Tage vergehen nach SÄGEN,Erledigt
246,614608,FZT853,9Z24REBEL.5: 12(unprobed); 9Z24REBEL.4: 2(probed),HT,SOT223,CU,TA,,,,0,,,npn,FZT853D,LEADFRAME DZN 2000 (all over Ag),MICROBOND SOFT SOLDER WIRE 0.50MM,BONDEN,24047.0,0.0,24047.0,2020-08-21 00:00:00,SÄGEN,72084.0,0.0,72084.0,2020-08-20 00:00:00,0.33359691471061537,0.33359691471061537,BONDEN,0 Tage vergehen nach BONDEN,Läuft
247,614607,FZT851-79,9Z35ENROL.4: 2(ringprobed),HT,SOT223,AU,TA,,,,0,,,npn,FZT851D,LEADFRAME DZN 2000 (all over Ag),MICROBOND SOFT SOLDER WIRE 0.50MM,SÄGEN,9442.0,0.0,9442.0,2020-08-21 00:00:00,SÄGEN,9442.0,0.0,9442.0,2020-08-21 00:00:00,1.0,1.0,SÄGEN,0 Tage vergehen nach SÄGEN,Erledigt
248,614606,FZT751,9Z31SIEGE.5: 19(unprobed),MT,SOT223,CU,TA,,,,0,,,pnp,FZT751D,LEADFRAME DZN 2000 (all over Ag),MICROBOND SOFT SOLDER WIRE 0.30MM,SÄGEN,0.0,0.0,0.0,0,SÄGEN,0.0,0.0,0.0,0,-0.01,,SÄGEN,Vorbereitungen für den Start,Vor Produktionsbeginn
249,614605,FZT705,9Z31EXAMS.4: 9(unprobed),MT,SOT223,CU,TA,,,,0,,,pnp,FZT705D,LEADFRAME DZN 2000 (all over Ag),MICROBOND SOFT SOLDER WIRE 0.30MM,SÄGEN,0.0,0.0,0.0,0,SÄGEN,0.0,0.0,0.0,0,-0.01,,SÄGEN,Vorbereitungen für den Start,Vor Produktionsbeginn
250,614604,FZT7053,9Z29ALOES.4: 5(unprobed),LT,SOT223,CU,TA,,,,0,,,npn,,LEADFRAME DZN 2000 (all over Ag),MICROBOND SOFT SOLDER WIRE 0.254MM,SÄGEN,0.0,0.0,0.0,0,SÄGEN,0.0,0.0,0.0,0,-0.01,,SÄGEN,Vorbereitungen für den Start,Vor Produktionsbeginn
251,614603,FZT692BQ,9Z35DYING.3: 18(probed),MT,SOT223,AU,TA,,,,0,,,npn,FZT653BD,LEADFRAME DZN 2000 (all over Ag),MICROBOND SOFT SOLDER WIRE 0.30MM,BONDEN,64787.0,0.0,64787.0,2020-08-20 00:00:00,SÄGEN,222134.0,0.0,222134.0,2020-08-20 00:00:00,0.29165728794331347,0.29165728794331347,BONDEN,1 Tage vergehen nach BONDEN,Läuft
252,614602,FZT549,9X47ROAST.5: 1(unprobed),LT,SOT223,CU,TA,,,,0,,,pnp,FZT549D,LEADFRAME DZN 2000 (all over Ag),MICROBOND SOFT SOLDER WIRE 0.254MM,SÄGEN,0.0,0.0,0.0,0,SÄGEN,0.0,0.0,0.0,0,-0.01,,SÄGEN,Vorbereitungen für den Start,Vor Produktionsbeginn
253,614601,FZT1051A,9Y43BRATS.6: 8(unprobed),HT,SOT223,CU,TA,,,,0,,,npn,FZT1051AD,LEADFRAME DZN 2000 (all over Ag),MICROBOND SOFT SOLDER WIRE 0.30MM,SÄGEN,71501.0,0.0,71501.0,2020-08-21 00:00:00,SÄGEN,71501.0,0.0,71501.0,2020-08-21 00:00:00,1.0,1.0,SÄGEN,0 Tage vergehen nach SÄGEN,Erledigt
254,614524,ZXCT1008QF,9Z33CADGE.2: 17(probed),IC,LFSOT23,AU,TC,,,,0,,,,ZXCT1008F,TRÄGERBAND TB 401 LFR/C plated,,SÄGEN,0.0,0.0,0.0,0,SÄGEN,0.0,0.0,0.0,0,-0.01,,SÄGEN,Vorbereitungen für den Start,Vor Produktionsbeginn
255,614523,ZXCT1008QF,9Z31WAVED.2: 15(probed),IC,LFSOT23,AU,TC,,,,0,,,,ZXCT1008F,TRÄGERBAND TB 401 LFR/C plated,,SÄGEN,217870.0,0.0,217870.0,2020-08-20 00:00:00,SÄGEN,217870.0,0.0,217870.0,2020-08-20 00:00:00,1.0,1.0,SÄGEN,1 Tage vergehen nach SÄGEN,Erledigt
256,614522,ZHT431F02,9Z21PILED.9: 2(unprobed),IC,LFSOT23,AU,TA,,,,0,,,,ZR43102XF,LEADFRAME DZN 1020,,SÄGEN,0.0,0.0,0.0,0,SÄGEN,0.0,0.0,0.0,0,-0.01,,SÄGEN,Vorbereitungen für den Start,Vor Produktionsbeginn
257,614521,ZXMP6A13F,9Z33MALLS.4: 8(probed),UMOS,SOT23,CU,TA,,,,0,,,pMOSe,ZXMP6A13C,TRÄGERBAND TB 401 LS-N  85 my,,SÄGEN,0.0,0.0,0.0,0,SÄGEN,0.0,0.0,0.0,0,-0.01,,SÄGEN,Vorbereitungen für den Start,Vor Produktionsbeginn
258,614520,ZXMP10A13F,9Z29FERRY.5: 12(probed),UMOS,SOT23,CU,TA,,,,0,,,pMOSe,ZXMP10A13C,TRÄGERBAND TB 401 LS-N  85 my,,SÄGEN,0.0,0.0,0.0,0,SÄGEN,0.0,0.0,0.0,0,-0.01,,SÄGEN,Vorbereitungen für den Start,Vor Produktionsbeginn
259,614519,ZXMN10A07F,9Z30PEELS.5: 2(probed),UMOS,SOT23,CU,TA,,,,0,,,nMOSe,ZXMN10A07C,TRÄGERBAND TB 401 LS-N  85 my,,SÄGEN,0.0,0.0,0.0,0,SÄGEN,0.0,0.0,0.0,0,-0.01,,SÄGEN,Vorbereitungen für den Start,Vor Produktionsbeginn
260,614518,ZXMN10A07F,9Z28PEEKS.4: 1(probed); 9Z29OWING.4: 1(probed),UMOS,SOT23,CU,TA,,,,0,,,nMOSe,ZXMN10A07C,TRÄGERBAND TB 401 LS-N  85 my,,SÄGEN,0.0,0.0,0.0,0,SÄGEN,0.0,0.0,0.0,0,-0.01,,SÄGEN,Vorbereitungen für den Start,Vor Produktionsbeginn
261,614517,ZXM61N03F,8Z17BESTS.2: 3(unprobed),HDMOS,SOT23,AU,TA,,,,0,,,,,TRÄGERBAND TB 401 LS-N  85 my,,SÄGEN,0.0,0.0,0.0,0,SÄGEN,0.0,0.0,0.0,0,-0.01,,SÄGEN,Vorbereitungen für den Start,Vor Produktionsbeginn
262,614516,ZRC250F01,9Z27TEACH.23: 1(probed); 9Z27TEACH.24: 2(ringprobed),IC,SOT23,AU,TA,,,,0,,,,ZR28501C,TRÄGERBAND TB 401 L-A veredelt,,SÄGEN,0.0,0.0,0.0,0,SÄGEN,0.0,0.0,0.0,0,-0.01,,SÄGEN,Vorbereitungen für den Start,Vor Produktionsbeginn
263,614515,ZRB500F01,9Z27FUMED.25: 2(ringprobed),IC,SOT23,AU,TA,,,,0,,,,ZRB50001C,TRÄGERBAND TB 401 L-A veredelt,,SÄGEN,0.0,0.0,0.0,0,SÄGEN,0.0,0.0,0.0,0,-0.01,,SÄGEN,Vorbereitungen für den Start,Vor Produktionsbeginn
264,614514,FMMT717,9Z23TEETH.4: 3(unprobed),ST,SOT23,CU,TA,,,,0,,,pnp,,TRÄGERBAND TB 401 LS-N  85 my,,SÄGEN,0.0,0.0,0.0,0,SÄGEN,0.0,0.0,0.0,0,-0.01,,SÄGEN,Vorbereitungen für den Start,Vor Produktionsbeginn
